ts,who,where_maybe,note
2026-09-12T13:00:00Z,LT June Berg,,got 45 pounds off Cedar checkpoint here at Tango mill. logged. berg
2026-09-12T13:00:47Z,CPT Amelia MacLeod,,Anchor-W9 this is Anchor-Z3. sending 35 lb from Zulu tent city to Willow market. count it on arrival. over
2026-09-12T13:01:34Z,CPL James Bennett,,Anchor-T9 this is Anchor-C4. sending 45 lb from Cedar checkpoint to Tango mill. count it on arrival. over
2026-09-12T13:02:21Z,CPL Ibrahim Hale,,got 5 pounds off Zulu tent city here at Lima crossroads. logged. hale
2026-09-12T13:03:08Z,CPL James Bennett,,Anchor-X5 this is Anchor-C4. sending 5 lb from Cedar checkpoint to Xray crossroads. count it on arrival. over
2026-09-12T13:03:55Z,SFC Tom Berg,,got 45 pounds off Zulu tent city here at Willow market. logged. berg
2026-09-12T13:04:42Z,LT Noah Alvarez,,got 5 pounds off Cedar checkpoint here at Xray crossroads. logged. alvarez
2026-09-12T13:05:29Z,CPT Amelia MacLeod,,Anchor-L9 this is Anchor-Z3. sending 5 lb from Zulu tent city to Lima crossroads. count it on arrival. over
2026-09-12T13:20:00Z,CPL Ibrahim Hale,,got 5 pounds off Yankee warehouse here at Lima crossroads. logged. hale
2026-09-12T13:20:47Z,PVT Victor Nair,,Anchor-L9 this is Anchor-Q4. sending 35 lb from Quebec checkpoint to Lima crossroads. count it on arrival. over
2026-09-12T13:21:34Z,LT Omar MacLeod,,got 40 pounds off Xray crossroads here at Oscar orchard. logged. macleod
2026-09-12T13:22:21Z,SGT Maya Chen,,Anchor-G1 this is Anchor-Y3. sending 5 lb from Yankee warehouse to Granite helipad. count it on arrival. over
2026-09-12T13:23:08Z,CPL Ibrahim Hale,,got 35 pounds off Quebec checkpoint here at Lima crossroads. logged. hale
2026-09-12T13:23:55Z,LT Elena Vasquez,,got 5 pounds off Yankee warehouse here at Granite helipad. logged. vasquez
2026-09-12T13:24:42Z,SGT Maya Chen,,Anchor-L9 this is Anchor-Y3. sending 5 lb from Yankee warehouse to Lima crossroads. count it on arrival. over
2026-09-12T13:25:29Z,LT Noah Alvarez,,Anchor-O3 this is Anchor-X5. sending 40 lb from Xray crossroads to Oscar orchard. count it on arrival. over
2026-09-12T13:40:00Z,SPC James Hassan,,Anchor-Z3 this is Anchor-J5. sending 20 lb from Juliet quarry to Zulu tent city. count it on arrival. over
2026-09-12T13:40:47Z,CPT Amelia MacLeod,,got 20 pounds off Juliet quarry here at Zulu tent city. logged. macleod
2026-09-12T14:31:00Z,SFC Tom Berg,,correction that last runner was 35 kg not lb wait no 35 kg
2026-09-12T14:44:00Z,SFC Tom Berg,,also sent 35 lbs over to Kilo transfer yard; same runner loop. log it.
2026-09-12T16:00:00Z,PVT Farah Okonkwo,,EOD Echo transfer yard: in 300 lb; out 300 lb; on-hand 0 lb. Echo-Actual closing books.
2026-09-12T16:00:47Z,SFC Farah Kowalski,,EOD Whiskey forward cache: in 85 lb; out 85 lb; on-hand 0 lb. Whiskey-Actual closing books.
2026-09-12T16:01:34Z,SFC Malik Vasquez,,EOD Mike transfer yard: in 230 lb; out 230 lb; on-hand 0 lb. Mike-Actual closing books.
2026-09-12T16:02:21Z,CPT Amelia MacLeod,,EOD Zulu tent city: in 180 lb; out 25 lb; on-hand 155 lb. Anchor-Z3 closing books.
2026-09-12T16:03:08Z,SPC Sofia Ortiz,,EOD Kilo transfer yard: in 80 lb; out 80 lb; on-hand 0 lb. Kilo-Actual closing books.
2026-09-12T16:03:55Z,CPL Sam Park,,EOD Copper transfer yard: in 175 lb; out 175 lb; on-hand 0 lb. Copper-Actual closing books.
2026-09-12T16:15:00Z,CPL James Bennett,,EOD Cedar checkpoint: in 55 lb; out 50 lb; on-hand 5 lb. Anchor-C4 closing books.
2026-09-12T16:15:47Z,SFC Tom Berg,,EOD Willow market: in 75 lb; out 0 lb; on-hand 75 lb. Anchor-W9 closing books.
2026-09-12T16:16:34Z,LT Noah Alvarez,,EOD Xray crossroads: in 140 lb; out 40 lb; on-hand 100 lb. Anchor-X5 closing books.
2026-09-12T16:17:21Z,PVT Leo Ortiz,,EOD Quarry farm: in 75 lb; out 0 lb; on-hand 75 lb. Anchor-Q8 closing books.
2026-09-12T16:18:08Z,LT Omar MacLeod,,EOD Oscar orchard: in 160 lb; out 0 lb; on-hand 160 lb. Anchor-O3 closing books.
2026-09-12T16:18:55Z,PVT Victor Nair,,EOD Quebec checkpoint: in 95 lb; out 35 lb; on-hand 60 lb. Anchor-Q4 closing books.
2026-09-12T16:30:00Z,LT Elena Vasquez,,EOD Granite helipad: in 45 lb; out 0 lb; on-hand 45 lb. Anchor-G1 closing books.
2026-09-12T16:30:47Z,SGT Maya Chen,,EOD Yankee warehouse: in 45 lb; out 10 lb; on-hand 35 lb. Anchor-Y3 closing books.
2026-09-12T16:31:34Z,LT June Berg,,EOD Tango mill: in 60 lb; out 0 lb; on-hand 60 lb. Anchor-T9 closing books.
2026-09-12T16:32:21Z,SPC June Ruiz,,EOD Victor mosque courtyard: in 100 lb; out 0 lb; on-hand 100 lb. Anchor-V2 closing books.
2026-09-12T16:33:08Z,SPC James Hassan,,EOD Juliet quarry: in 25 lb; out 20 lb; on-hand 5 lb. Anchor-J5 closing books.
2026-09-12T16:33:55Z,CPL Ibrahim Hale,,EOD Lima crossroads: in 75 lb; out 0 lb; on-hand 75 lb. Anchor-L9 closing books.
